# lemma	count — freq ranking for --freq/--maxEntries (must-keep 20M+, top50k 5M-). MIT.
кот	23000000
кошка	23000000
собака	23000000
большом	22000000
в	22000000
видит	22000000
воду	22000000
времени	22000000
говорят	22000000
городе	22000000
дети	22000000
доме	22000000
едим	22000000
женщина	22000000
жизнь	22000000
и	22000000
идем	22000000
истории	22000000
историю	22000000
каждое	22000000
книгу	22000000
любви	22000000
любят	22000000
маленьком	22000000
мире	22000000
мужчины	22000000
мы	22000000
новую	22000000
ночью	22000000
о	22000000
пишет	22000000
потом	22000000
пьем	22000000
слова	22000000
старыи	22000000
утро	22000000
хорошую	22000000
человек	22000000
читает	22000000
школу	22000000
большои	21000000
видеть	21000000
вода	21000000
время	21000000
говорить	21000000
год	21000000
город	21000000
делать	21000000
день	21000000
дом	21000000
есть	21000000
знать	21000000
идти	21000000
история	21000000
книга	21000000
любить	21000000
маленькии	21000000
мир	21000000
мужчина	21000000
ночь	21000000
писать	21000000
пить	21000000
работа	21000000
слово	21000000
хорошии	21000000
читать	21000000
школа	21000000
язык	21000000
быть	20000000
глаз	20000000
давать	20000000
иметь	20000000
любовь	20000000
мочь	20000000
новыи	20000000
приходить	20000000
ребенок	20000000
страна	20000000
хотеть	20000000
это	20000000
я	20000000
не	5000000
что	4999999
ты	4999998
на	4999997
с	4999996
он	4999995
как	4999994
вы	4999993
да	4999992
мне	4999991
у	4999990
нет	4999989
меня	4999988
так	4999987
но	4999986
а	4999985
его	4999984
все	4999983
она	4999982
тебя	4999981
если	4999980
бы	4999979
тебе	4999978
за	4999977
они	4999976
чтобы	4999975
же	4999974
просто	4999973
из	4999972
ну	4999971
к	4999970
для	4999969
хорошо	4999968
когда	4999967
здесь	4999966
по	4999965
был	4999964
знаю	4999963
то	4999962
только	4999961
было	4999960
может	4999959
вас	4999958
нас	4999957
от	4999956
вот	4999955
будет	4999954
кто	4999953
почему	4999952
вам	4999951
очень	4999950
могу	4999949
их	4999948
еще	4999947
уже	4999946
или	4999945
спасибо	4999944
нам	4999943
там	4999942
чем	4999941
хочу	4999940
сеичас	4999939
где	4999938
нужно	4999937
этого	4999936
ничего	4999935
ее	4999934
была	4999933
мои	4999932
знаешь	4999931
ладно	4999930
этом	4999929
до	4999928
потому	4999927
теперь	4999926
думаю	4999925
больше	4999924
п	4999923
со	4999922
раз	4999921
ему	4999920
надо	4999919
этот	4999918
ли	4999917
привет	4999916
даже	4999915
пока	4999914
сказал	4999913
себя	4999912
должен	4999911
хочешь	4999910
даваи	4999909
эи	4999908
того	4999907
никогда	4999906
тоже	4999905
тогда	4999904
него	4999903
были	4999902
конечно	4999901
ни	4999900
об	4999899
правда	4999898
тут	4999897
моя	4999896
пожалуиста	4999895
сказать	4999894
тобои	4999893
сегодня	4999892
один	4999891
можешь	4999890
лучше	4999889
сюда	4999888
мнои	4999887
сделать	4999886
значит	4999885
всегда	4999884
еи	4999883
порядке	4999882
дело	4999881
должны	4999880
том	4999879
можно	4999878
без	4999877
буду	4999876
хотел	4999875
эти	4999874
много	4999873
этим	4999872
после	4999871
чего	4999870
всего	4999869
твои	4999868
во	4999867
ним	4999866
лет	4999865
боже	4999864
них	4999863
мистер	4999862
неи	4999861
ведь	4999860
такои	4999859
которыи	4999858
немного	4999857
возможно	4999856
через	4999855
сэр	4999854
всех	4999853
слишком	4999852
себе	4999851
им	4999850
такое	4999849
должна	4999848
моеи	4999847
знаете	4999846
думаешь	4999845
этои	4999844
люди	4999843
зачем	4999842
свою	4999841
твоя	4999840
сказала	4999839
назад	4999838
эту	4999837
под	4999836
точно	4999835
можем	4999834
отец	4999833
мама	4999832
случилось	4999831
мог	4999830
вместе	4999829
сделал	4999828
кажется	4999827
друг	4999826
никто	4999825
куда	4999824
эта	4999823
которые	4999822
два	4999821
тот	4999820
жизни	4999819
сколько	4999818
нравится	4999817
поэтому	4999816
понимаю	4999815
снова	4999814
парень	4999813
люблю	4999812
видел	4999811
людеи	4999810
помочь	4999809
хочет	4999808
похоже	4999807
место	4999806
отлично	4999805
домои	4999804
всем	4999803
деньги	4999802
иди	4999801
прости	4999800
доктор	4999799
думал	4999798
дома	4999797
делаешь	4999796
именно	4999795
говорил	4999794
слушаи	4999793
прямо	4999792
поговорить	4999791
будем	4999790
своеи	4999789
наити	4999788
стоит	4999787
разве	4999786
тем	4999785
хотела	4999784
ага	4999783
можете	4999782
лишь	4999781
деле	4999780
